ref_area.label,indicator.label,source.label,sex,economicactivity,classif2.label,time,value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Agriculture,Currency: Local currency,2022,1750292.12,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Manufacturing,Currency: Local currency,2022,3118249.52,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,Construction,Currency: Local currency,2022,2546772.35,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2022,3809196.78,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Trade, Transportation, Accommodation and Food, and Business and Administrative Services",Currency: Local currency,2022,3179244,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Male,"Public Administration, Community, Social and other Services and Activities",Currency: Local currency,2022,3407051.58,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Agriculture,Currency: Local currency,2022,950947.91,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Manufacturing,Currency: Local currency,2022,2274794.53,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,Construction,Currency: Local currency,2022,4587101.17,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,Average monthly earnings of employees by sex and economic activity,LFS - National Labour Force Survey,Female,"Mining and quarrying; Electricity, gas and water supply",Currency: Local currency,2022,4072560.92,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
