"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): Total","Labour market status: Employed","2022",135208.374,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): Total","Labour market status: Unemployed","2022",4848.051,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): X. No schooling","Labour market status: Employed","2022",2078.034,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): X. No schooling","Labour market status: Unemployed","2022",5.546,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 0. Early childhood education","Labour market status: Employed","2022",16641.883,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 0. Early childhood education","Labour market status: Unemployed","2022",163.783,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 1. Primary education","Labour market status: Employed","2022",33918.984,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 1. Primary education","Labour market status: Unemployed","2022",497.413,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 2. Lower secondary education","Labour market status: Employed","2022",24096.513,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 2. Lower secondary education","Labour market status: Unemployed","2022",677.692,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 3. Upper secondary education","Labour market status: Employed","2022",41611.168,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 3. Upper secondary education","Labour market status: Unemployed","2022",2783.24,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 5. Short-cycle tertiary education","Labour market status: Employed","2022",3463.515,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 5. Short-cycle tertiary education","Labour market status: Unemployed","2022",150.601,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 6. Bachelor's or equivalent level","Labour market status: Employed","2022",12376.864,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 6. Bachelor's or equivalent level","Labour market status: Unemployed","2022",560.144,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 7. Master's or equivalent level","Labour market status: Employed","2022",960.398,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 7. Master's or equivalent level","Labour market status: Unemployed","2022",9.634,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Total","Education (ISCED-11): 8. Doctoral or equivalent level","Labour market status: Employed","2022",61.018,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): Total","Labour market status: Employed","2022",82240.992,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): Total","Labour market status: Unemployed","2022",3122.545,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): X. No schooling","Labour market status: Employed","2022",917.301,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): X. No schooling","Labour market status: Unemployed","2022",3.948,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 0. Early childhood education","Labour market status: Employed","2022",8954.107,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 0. Early childhood education","Labour market status: Unemployed","2022",121.279,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 1. Primary education","Labour market status: Employed","2022",20706.696,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 1. Primary education","Labour market status: Unemployed","2022",368.603,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 2. Lower secondary education","Labour market status: Employed","2022",15258.272,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","Working-age population by sex, education and labour market status (thousands)","LFS - National Labour Force Survey","Sex: Male","Education (ISCED-11): 2. Lower secondary education","Labour market status: Unemployed","2022",484.046,,,,"Repository: ILO-STATISTICS - Micro data processing"
